Title,Release Date,Genres,Overview,Original Language,Vote Average,Vote Count,Popularity,TMDB ID
The Shawshank Redemption,9/23/1994,"Drama, Crime",imprison double murder wife lover upstande banker andy sure begin new life shaw shank prison put accounting skill work amoral warden long stretch prison sure come admire inmate include old prisoner name red integrity unquenchable sense hope,en,8.712,28584,50.5507,278
The Godfather,3/14/1972,"Drama, Crime",span year chronicle fictional italian american corleone crime family organize crime family patriarch vito corleone barely survive attempt life young son michael step care killer launch campaign bloody revenge,en,8.686,21647,29.8595,238
The Godfather Part II,12/20/1974,"Drama, Crime",continue saga corleone crime family young vito corleone grow sicily new york michael corleone attempt expand family business las vegas hollywood cuba,en,8.6,13069,17.8934,240
Schindler's List,12/15/1993,"Drama, History, War",true story businessman oscar schindler save thousand jewish life nazi work slave factory world war ii,en,8.566,16569,15.7481,424
12 Angry Men,4/10/1957,Drama,defense prosecution rest jury file jury room decide young spanish american guilty innocent murder father begin open shut case soon mini drama juror prejudice preconception trial accuse,en,8.549,9268,26.0509,389
Spirited Away,7/20/2001,"Animation, Family, Fantasy",young girl chirico trap strange new world spirit parent undergo mysterious transformation courage know free family,ja,8.537,17297,17.9517,129
KPop Demon Hunters,6/20/2025,"Animation, Fantasy, Comedy, Music, Family, Action",pop superstar rum mira joey agent sell stadium secret power protect fan supernatural threat,en,8.514,794,209.4107,803796
The Dark Knight,7/16/2008,"Drama, Action, Crime, Thriller",batman raise stake war crime help jim gordon district attorney harvey dent batman set dismantle remain criminal organization plague street partnership prove effective soon find prey reign chaos unleash rise criminal mastermind know terrified citizen gotham joker,en,8.522,34114,29.9407,155
Dilwale Dulhania Le Jayenge,10/20/1995,"Comedy, Drama, Romance",raj rich carefree happy lucky second generation fri simian daughter cha diary balder singh spite fri strict adherence indian value simian leave india married childhood fiance raj leave india mission hand claim lady love nose family begin saga,hi,8.5,4498,8.8005,19404
The Green Mile,12/10/1999,"Fantasy, Drama, Crime",supernatural tale set death row southern prison gentle giant john coffey possess mysterious power heal people ailment cell block head guard paul edge comb recognize coffee miraculous gift try desperately help stave condemn man execution,en,8.504,18227,22.2564,497
Parasite,5/30/2019,"Comedy, Thriller, Drama",unemployed kitten family take peculiar interest wealthy glamorous park livelihood entangle unexpected incident,ko,8.499,19281,24.5119,496243
Pulp Fiction,9/10/1994,"Thriller, Crime, Comedy",burger love hit man philosophical partner drug addle gangster moll wash boxer converge sprawl comedic crime caper adventure unfurl story ingeniously trip forth time,en,8.488,28886,20.665,680
The Lord of the Rings: The Return of the King,12/17/2003,"Adventure, Fantasy, Action",army mass final battle decide fate world powerful ancient force light dark compete determine outcome member fellowship ring reveal noble heir throne king man sole hope triumph evil lie brave hobbit frodo accompany loyal friend sam hideous wretched gallup venture deep dark heart order seemingly impossible quest destroy ring power,en,8.488,25274,21.0054,122
Your Name.,8/26/2016,"Animation, Romance, Drama",high schooner matsu complete stranger live separate life night suddenly switch place matsu wake take body bizarre occurrence continue happen randomly adjust life,ja,8.5,11876,14.757,372058
Forrest Gump,6/23/1994,"Comedy, Drama, Romance",man low accomplish great thing life present significant historic event case far exceed imagine despite achieve true love elude,en,8.469,28414,20.7745,13
"The Good, the Bad and the Ugly",12/22/1966,Western,civil war rage union confederacy man quiet loner ruthless whitman mexican bandit comb american southwest search strongbox contain 200000 steal gold,it,8.465,9088,17.2576,429
Interstellar,11/5/2014,"Adventure, Drama, Science Fiction",adventure group explorer use newly discover wormhole surpass limitation human space travel conquer vast distance involve interstellar voyage,en,8.458,37505,41.5234,157336
Seven Samurai,4/26/1954,"Action, Drama",samurai answer village request protection fall hard time town need protection bandit samurai gather help teach people defend villager provide soldier food,ja,8.456,3944,9.3094,346
